dataset,variant,windows,binary_macro_f1,binary_macro_auprc,positive_f1,positive_auprc,balanced_accuracy,event_recall,detected_events,total_events,false_alarm_count,negative_exposure_hours,false_alarms_per_hour,median_detection_delay_s,duplicate_alarms
URFD,pose_branch_only,6930,0.5990650993454196,0.622856398552438,0.36382681564245806,0.3164627932491014,0.6248875790132927,0.8666666666666667,26,30,30,0.08044444444444446,372.92817679558004,1.301,0
URFD,rgb_branch_only,6930,0.5899202851911343,0.5907944135589167,0.3660629170638703,0.33628668736237755,0.6293704606802668,0.9333333333333333,28,30,24,0.08044444444444446,298.34254143646405,1.218,0
URFD,fixed_0.5_late_logit,6930,0.6030877055919214,0.6492709792113605,0.3735887786520698,0.38599913511819056,0.6329366789171659,0.9333333333333333,28,30,24,0.08044444444444446,298.34254143646405,1.237,0
URFD,quality_gated_late_logit,6930,0.609545070332885,0.6347192835455926,0.38028661307235234,0.34857561441827867,0.6372375023060715,0.9333333333333333,28,30,26,0.08044444444444446,323.20441988950273,1.237,0
Le2i,pose_branch_only,58328,0.4882652211034475,0.5165660488306218,0.1127286781757279,0.051674290068545,0.6154830987706461,0.9393939393939394,93,99,139,0.7356900838888888,188.93825408824344,0.8334319999999998,3
Le2i,rgb_branch_only,58328,0.46959029219329146,0.5164282243214636,0.1004004737999887,0.050034274163940205,0.5999867401137797,0.9090909090909091,90,99,170,0.7356900838888888,231.0755625539668,0.76,3
Le2i,fixed_0.5_late_logit,58328,0.48881390008104375,0.5186832414326927,0.11238293444328826,0.05371308322517846,0.6138268157458318,0.9393939393939394,93,99,132,0.7356900838888888,179.4233779830801,0.7914319999999998,1
Le2i,quality_gated_late_logit,58328,0.48971856265201913,0.5184078852722961,0.11281647645284008,0.053867215927499594,0.6138997580727653,0.9494949494949495,94,99,131,0.7356900838888888,178.06410996805675,0.8,2
